Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
Tanespimycin,151069,CCLE,17-AAG,Broad DRH,Phase 3,HSP inhibitor,HSP90AA1
AEW541,11476171,CCLE,AEW541,Broad DRH,Preclinical,IGF-1 inhibitor,IGF1R|INSR
Saracatinib,10302451,CCLE,AZD0530,Broad DRH,Phase 2/Phase 3,src inhibitor,ABL1|LCK|SRC|YES1
Selumetinib,10127622,CCLE,AZD6244,Broad DRH,Phase 3,MEK inhibitor,MAP2K1
Erlotinib,176870,CCLE,Erlotinib,Broad DRH,Launched,EGFR inhibitor,EGFR|NR1I2
SN-38,104842,CCLE,Irinotecan,Broad DRH,Launched,topoisomerase inhibitor,TOP1
L-685458,3849,CCLE,L-685458,CTRP_V2,,0,APH1A|NCSTN|PSEN1|PSENEN
Lapatinib,208908,CCLE,Lapatinib,Broad DRH,Launched,EGFR inhibitor,EGFR|ERBB2
LBW242,11503417,CCLE,LBW242,CCLE,,0,XIAP
Nilotinib,644241,CCLE,Nilotinib,Broad DRH,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT
Nutlin-3a (-),11433190,CCLE,Nutlin-3,Broad DRH,Preclinical,MDM inhibitor,MDM2|TP53
Paclitaxel,4666,CCLE,Paclitaxel,Broad DRH,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBB|TUBB1
Panobinostat,6918837,CCLE,Panobinostat,Broad DRH,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9
PD0325901,9826528,CCLE,PD-0325901,Broad DRH,Phase 2,MEK inhibitor,MAP2K1
Palbociclib,5330286,CCLE,PD-0332991,Broad DRH,Launched,CDK inhibitor,CDK4|CDK6
Crizotinib,11597571,CCLE,PF2341066,Broad DRH,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET
PHA-665752,10461815,CCLE,PHA-665752,Broad DRH,Preclinical,c-Met inhibitor,MET
PLX-4720,24180719,CCLE,PLX4720,Broad DRH,Preclinical,RAF inhibitor,BRAF|KDR
RAF265,11656518,CCLE,RAF265,Broad DRH,Phase 2,RAF inhibitor|VEGFR inhibitor,BRAF
Sorafenib,216239,CCLE,Sorafenib,Broad DRH,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET
NVP-TAE684,16038120,CCLE,TAE684,Broad DRH,Preclinical,ALK tyrosine kinase receptor inhibitor,ALK|INSR
TKI258,9886808,CCLE,TKI258,Broad DRH,Phase 3,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB
Topotecan,60699,CCLE,Topotecan,Broad DRH,Launched,topoisomerase inhibitor,TOP1|TOP1MT
Vandetanib,3081361,CCLE,ZD-6474,Broad DRH,Launched,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|VEGFA
Tanespimycin,151069,CTRPv1,tanespimycin,Broad DRH,Phase 3,HSP inhibitor,HSP90AA1
Selumetinib,10127622,CTRPv1,selumetinib,Broad DRH,Phase 3,MEK inhibitor,MAP2K1
SN-38,104842,CTRPv1,SN-38,Broad DRH,Launched,topoisomerase inhibitor,TOP1
L-685458,3849,CTRPv1,L-685458,CTRP_V2,,0,APH1A|NCSTN|PSEN1|PSENEN
Nutlin-3a (-),11433190,CTRPv1,nutlin-3,Broad DRH,Preclinical,MDM inhibitor,MDM2|TP53
Vorinostat,5311,CTRPv1,vorinostat,Broad DRH,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9
Bortezomib,387447,CTRPv1,bortezomib,Broad DRH,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA
Gemcitabine,60749,CTRPv1,gemcitabine,Broad DRH,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS
Rapamycin,5284616,CTRPv1,sirolimus,Broad DRH,Launched,mTOR inhibitor,FGF2|FKBP1A|MTOR
Dactolisib,11977753,CTRPv1,BEZ235,Broad DRH,Phase 2,mTOR inhibitor|PI3K inhibitor,ATR|MTOR|PIK3CA|PIK3CD|PIK3CG
Lenalidomide,216326,CTRPv1,lenalidomide,Broad DRH,Launched,anticancer agent,CDH5|CRBN|PTGS2|TNF|TNFSF11
Tamoxifen,2733526,CTRPv1,tamoxifen,Broad DRH,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ
Vismodegib,24776445,CTRPv1,vismodegib,Broad DRH,Launched,hedgehog pathway inhibitor|smoothened receptor antagonist,SMO
Olaparib,23725625,CTRPv1,olaparib,Broad DRH,Launched,PARP inhibitor,PARP1|PARP2
Tretinoin,5538,CTRPv1,ATRA,Broad DRH,Launched,retinoid receptor agonist,RARA|RARB|RARG
Etoposide,3310,CTRPv1,etoposide,Broad DRH,Launched,topoisomerase inhibitor,TOP2A|TOP2B
Navitoclax,24978538,CTRPv1,navitoclax,Broad DRH,Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2
BI 2536,11364421,CTRPv1,BI-2536,Broad DRH,Phase 2,PLK inhibitor,BRD4|PLK1|PLK2|PLK3
JQ1,46907787,CTRPv1,JQ-1,Broad DRH,Preclinical,bromodomain inhibitor,BRD4|BRDT
Pemetrexed,60843,CTRPv1,pemetrexed,Broad DRH,Launched,dihydrofolate reductase inhibitor|thymidylate synthase inhibitor,ATIC|DHFR|GART|TYMS
Mitomycin-C,5746,CTRPv1,mitomycin,Broad DRH,Launched,DNA alkylating agent|DNA synthesis inhibitor,0
Tipifarnib,159324,CTRPv1,tipifarnib-P2,Broad DRH,Phase 3,farnesyltransferase inhibitor,FNTA|FNTB
BMS-536924,10390396,CTRPv1,BMS-536924,Broad DRH,Preclinical,IGF-1 inhibitor,AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB
BMS-754807,24785538,CTRPv1,BMS-754807,Broad DRH,Phase 2,IGF-1 inhibitor,AKT1|IGF1R
Pevonedistat,16720766,CTRPv1,MLN-4924,Broad DRH,Phase 2,nedd activating enzyme inhibitor,NAE1|UBA3
Daporinad,6914657,CTRPv1,FK866,Broad DRH,Phase 2,niacinamide phosphoribosyltransferase inhibitor,NAMPT
Teniposide,5396,CTRPv1,teniposide,Broad DRH,Launched,topoisomerase inhibitor,TOP2A|TOP2B
MK-2206,24964624,CTRPv1,MK-2206,Broad DRH,Phase 2,AKT inhibitor,AKT1|AKT2|AKT3
YK-4-279,44632017,CTRPv1,YK 4-279,Broad DRH,Preclinical,apoptosis inhibitor,EWSR1|FLI1
Gossypol,3503,CTRPv1,gossypol,Broad DRH,Phase 2,BCL inhibitor|MCL1 inhibitor,BCL2
PAC-1,5344054,CTRPv1,PAC-1,Broad DRH,Phase 1,caspase activator,CASP3
Itraconazole,3793,CTRPv1,itraconazole,Broad DRH,Launched,cytochrome P450 inhibitor,CYP51A1
Fedratinib,16722836,CTRPv1,TG-101348,Broad DRH,Phase 3,FLT3 inhibitor|JAK inhibitor,BRD4|JAK1|JAK2|JAK3|TYK2
Simvastatin,54454,CTRPv1,simvastatin,Broad DRH,Launched,HMGCR inhibitor,HMGCR|ITGB2
Linsitinib,11640390,CTRPv1,linsitinib,Broad DRH,Phase 3,IGF-1 inhibitor,IGF1R|INSR|INSRR
Serdemetan,11609586,CTRPv1,serdemetan,Broad DRH,Phase 1,MDM inhibitor,MDM2
PI-103,9884685,CTRPv1,PI-103,Broad DRH,Preclinical,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC
Veliparib,11960529,CTRPv1,veliparib,Broad DRH,Phase 3,PARP inhibitor,PARP1|PARP2
Sildenafil citrate,5212,CTRPv1,sildenafil,Broad DRH,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3
Sepantronium bromide,11178236,CTRPv1,YM-155,Broad DRH,Phase 2,survivin inhibitor,BIRC5
XAV939,2726824,CTRPv1,XAV-939,Broad DRH,Preclinical,tankyrase inhibitor,TNKS|TNKS2
Tozasertib,5494449,CTRPv1,tozasertib,Broad DRH,Phase 2,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,AURKA|AURKB|AURKC|LCK
ABT-737,11228183,CTRPv1,ABT-737,Broad DRH,Phase 1/Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2
BRD1812,11238147,CTRPv1,BRD1812,Broad DRH,Preclinical,beta-catenin inhibitor,CTNNB1
tacrolimus,5372,CTRPv1,tacrolimus,Broad DRH,Launched,calcineurin inhibitor,FKBP1A
HKI-272,9915743,CTRPv1,neratinib,Broad DRH,Phase 3,EGFR inhibitor,EGFR|ERBB2|KDR
CHIR-99021,9956119,CTRPv1,CHIR-99021,Broad DRH,Preclinical,glycogen synthase kinase inhibitor,CDK1|GSK3A|GSK3B|MAPK1
Bromopyruvic Acid,70684,CTRPv1,2-bromopyruvate,Broad DRH,Preclinical,hexokinase inhibitor,HK2
UNC0638,46224516,CTRPv1,UNC0638,Broad DRH,Preclinical,histone lysine methyltransferase inhibitor,EHMT1|EHMT2
Luminespib,10096043,CTRPv1,NVP-AUY922,Broad DRH,Phase 2,HSP inhibitor,HSP90AA1|HSP90AB1
Parthenolide,4692,CTRPv1,parthenolide,Broad DRH,Phase 1,NFkB pathway inhibitor,0
GW843682X,9826308,CTRPv1,GW-843682X,Broad DRH,Preclinical,PLK inhibitor,PLK1|PLK3
Tivozanib,9911830,CTRPv1,tivozanib,Broad DRH,Phase 3,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB
MK 1775,24856436,CTRPv1,MK 1775,Broad DRH,Phase 2,WEE1 kinase inhibitor,WEE1
QS11,42623900,CTRPv1,QS-11,CTRP_V2,,0,ARFGAP1
HLI 373,24200438,CTRPv1,HLI 373,CTRP_V2,,0,MDM2
NSC632839,45281158,CTRPv1,NSC632839,CTRP_V2,,0,USP13|USP5
Oligomycin A,4591,CTRPv1,oligomycin A,CTRP_V2,,0,ATP5L2
pluripotin,12003241,CTRPv1,pluripotin,CTRP_V2,,0,MAPK1|RASAL1
MDV-3100,15951529,CTRPv1,MDV-3100,Broad DRH,Launched,androgen receptor antagonist,AR
PNU-74654,9836739,CTRPv1,PNU-74654,Broad DRH,Preclinical,beta-catenin inhibitor,CTNNB1|TCF4
Cyclosporine,2909,CTRPv1,ciclosporin,Broad DRH,Launched,calcineurin inhibitor,ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3
NSC95397,262093,CTRPv1,NSC95397,Broad DRH,Preclinical,CDC inhibitor,CDC25A|CDC25B
PF-04217903,17754438,CTRPv1,PF-04217903,Broad DRH,Phase 1,c-Met inhibitor,MET
Curcumin,2889,CTRPv1,curcumin,Broad DRH,Launched,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor,APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH
RG-108,344265,CTRPv1,RG-108,Broad DRH,Preclinical,DNA methyltransferase inhibitor,DNMT1|DNMT3B
Tyrphostin AG-1478,2051,CTRPv1,tyrphostin AG-1478,Broad DRH,Preclinical,EGFR inhibitor,EGFR|MAPK14
cerulenin,28517,CTRPv1,cerulenin,Broad DRH,Launched,fatty acid synthase inhibitor,FASN
BMS-299897,11249248,CTRPv1,BMS-299897,Broad DRH,Phase 1,gamma secretase inhibitor,0
Dexamethasone,5743,CTRPv1,dexamethasone,Broad DRH,Launched,glucocorticoid receptor agonist,NR3C1
Tubastatin A,49850262,CTRPv1,tubastatin A,Broad DRH,Preclinical,HDAC inhibitor,HDAC6
SNX-2112,24772860,CTRPv1,SNX-2112,Broad DRH,Phase 1,HSP inhibitor,0
BX-795,10077147,CTRPv1,BX-795,Broad DRH,Preclinical,IKK inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1
1-methyl-DL-tryptophan,405012,CTRPv1,1-methyl-DL-tryptophan,Broad DRH,Phase 2,"indoleamine 2,3-dioxygenase inhibitor",IDO1
RITA,374536,CTRPv1,RITA,Broad DRH,Preclinical,MDM inhibitor,MDM2
JZL-184,25021165,CTRPv1,JZL-184,Broad DRH,Preclinical,monoacylglucerol lipase inhibitor,MGLL
Rucaparib,9931953,CTRPv1,rucaparib,Broad DRH,Phase 3,PARP inhibitor,PARP1|PARP2
MLN2238,25183872,CTRPv1,MLN2238,Broad DRH,Launched,proteasome inhibitor,0
Brefeldin A,5351204,CTRPv1,brefeldin A,Broad DRH,Preclinical,protein synthesis inhibitor,ARF1|CYTH2|CYP11B1|ESR1|FDX1
ZM336372,5730,CTRPv1,ZM336372,Broad DRH,Preclinical,RAF inhibitor,BRAF|LCK|MAPK14|RAF1
NSC23766,54603599,CTRPv1,NSC23766,Broad DRH,Preclinical,Ras GTPase inhibitor,0
Triptolide,107985,CTRPv1,triptolide,Broad DRH,Phase 3,RNA polymerase inhibitor,RELA
Selisistat,5113032,CTRPv1,EX-527,Broad DRH,Phase 2,SIRT inhibitor,SIRT1
erismodegib,24775005,CTRPv1,BRD6430,Broad DRH,Launched,smoothened receptor antagonist,SMO
Phloretin,4788,CTRPv1,phloretin,Broad DRH,Launched,sodium/glucose cotransporter inhibitor,AQP9|CLCN3|SLC23A1
R-406,11213558,CTRPv1,tamatinib,Broad DRH,,SYK inhibitor,RET|SYK
Idarubicin,3685,CTRPv1,idarubicin,Broad DRH,Launched,topoisomerase inhibitor,TOP2A
PRIMA-1,322968,CTRPv1,PRIMA-1,Broad DRH,,TP53 inhibitor,ACHE
Parbendazole,26596,CTRPv1,parbendazole,Broad DRH,Preclinical,tubulin polymerization inhibitor,TUBB
Piperlongumine,442653,CTRPv1,piperlongumine,#N/A,,#N/A,#N/A
Austocystin D,5470400,CTRPv1,austocystin D,#N/A,,#N/A,#N/A
CHM-1,375860,CTRPv1,CHM-1,#N/A,,#N/A,#N/A
Cytochalasin B,2919,CTRPv1,cytochalasin B,#N/A,,#N/A,#N/A
Nakiterpiosin,11966550,CTRPv1,nakiterpiosin,#N/A,,#N/A,#N/A
CAY10603,24951314,CTRPv1,ISOX,CTRP_V2,,0,HDAC6
AACOCF3,5280436,CTRPv1,AA-COCF3,CTRP_V2,,0,FAAH|PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4D
AGK2,1183107,CTRPv1,AGK-2,CTRP_V2,,0,SIRT2
Avrainvillamide,11719255,CTRPv1,avrainvillamide,CTRP_V2,,0,NPM1
Bax channel blocker,2729026,CTRPv1,Bax channel blocker,CTRP_V2,,0,BAX
BEC,9877608,CTRPv1,BEC,CTRP_V2,,0,ARG1|ARG2
CAY10618,44819697,CTRPv1,CAY10618,CTRP_V2,,0,NAMPT
Chaetocin,161591,CTRPv1,chaetocin,CTRP_V1,,0,SUV39H1
1541B,44197249,CTRPv1,Compound 1541A,CTRP_V2,,0,CASP3|CASP6|CASP7
Fumagillol,219089,CTRPv1,fumagillol,CTRP_V1,,0,METAP2
fumonisin B1,3431,CTRPv1,fumonisin B1,CTRP_V2,,0,CERS1|CERS2|CERS3|CERS4|CERS5|CERS6
GSK-2334470,46215815,CTRPv1,GSK-2334470,CTRP_V1,,0,PDK1
Kinetin Riboside,3832,CTRPv1,kinetin riboside,CTRP_V1,,0,CCND1|CCND2
Manumycin A,4010,CTRPv1,manumycin A,CTRP_V2,,0,FNTA|FNTB
Merck60,6918878,CTRPv1,Merck60,CTRP_V2,,0,HDAC1|HDAC2
BRD2698,2842253,CTRPv1,ML006,CTRP_V2,,0,S1PR3
MST-312,10385095,CTRPv1,MST-312,CTRP_V2,,0,TERT
Myriocin,6438394,CTRPv1,myriocin,CTRP_V2,,0,SPTLC1|SPTLC2|SPTLC3
N9-Isopropyl-olomoucine,6610355,CTRPv1,N9-isopropylolomoucine,CTRP_V2,,0,CCNB1|CDK1|CDK5|CDK5R1
narciclasine,72376,CTRPv1,narciclasine,CTRP_V2,,0,RHOA
PF-750,25154868,CTRPv1,PF-750,CTRP_V2,,0,FAAH
SCH-529074,12001922,CTRPv1,SCH-529074,CTRP_V2,,0,TP53
SCH-79797,4259181,CTRPv1,SCH-79797,CTRP_V2,,0,F2R
SID 26681509,16725315,CTRPv1,SID 26681509,CTRP_V2,,0,CTSL1
PALA,39981,CTRPv1,sparfosic acid,CTRP_V1,,0,CAD
T-5345967,2113511,CTRPv1,T-5345967,CTRP_V2,,0,S1PR2
Tipifarnib-P1,9935249,CTRPv1,tipifarnib-P1,CTRP_V2,,0,FNTA
trans-C 75,4248455,CTRPv1,trans-C 75,CTRP_V1,,0,FASN
VER155008,25195348,CTRPv1,VER-155008,CTRP_V2,,0,HSPA1A|HSPA1B|HSPA1L
CI-976,122327,CTRPv1,CI-976,Broad DRH,Phase 1,ACAT inhibitor,ACAT1|CES1
orteronel,9796590,CTRPv1,orteronel,Broad DRH,Phase 3,androgen biosynthesis inhibitor|androgen receptor antagonist|cytochrome P450 inhibitor,CYP17A1
Blebbistatin,3476986,CTRPv1,blebbistatin,Broad DRH,,ATPase inhibitor,MYH2
Ursolic Acid,64945,CTRPv1,ursolic acid,Broad DRH,Phase 1,ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor,HSD11B1|PLA2G1B|PTPN1|PYGM
Evodiamine,151289,CTRPv1,isoevodiamine,Broad DRH,Preclinical,ATPase inhibitor|TRPV agonist,TRPV1
TW 37,11455910,CTRPv1,TW-37,Broad DRH,Preclinical,BCL inhibitor,BCL2|BCL2L1|MCL1
Ko-143,10322450,CTRPv1,Ko-143,Broad DRH,Preclinical,BCRP inhibitor,ABCB1|ABCC1
LFM-A13,54676905,CTRPv1,LFM-A13,Broad DRH,Preclinical,Bruton's tyrosine kinase (BTK) inhibitor,BTK
GW-405833,9911463,CTRPv1,GW-405833,Broad DRH,Preclinical,cannabinoid receptor agonist,CNR2
SB-225002,3854666,CTRPv1,SB-225002,Broad DRH,Preclinical,CC chemokine receptor antagonist,CXCR2
Indisulam,216468,CTRPv1,indisulam,Broad DRH,Phase 2,CDK inhibitor,CA1|CA12|CA14|CA2|CA6|CA7|CA9
Aspirin,2244,CTRPv1,aspirin,Broad DRH,Launched,cyclooxygenase inhibitor,AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53
zebularine,100016,CTRPv1,zebularine,Broad DRH,Preclinical,DNA methyltransferase inhibitor,CDA|DNMT1
trifluoperazine,5566,CTRPv1,trifluoperazine,Broad DRH,Launched,dopamine receptor antagonist,ADRA1A|CALM1|CALY|DRD2|DRD4|HRH1|HTR2A|HTR2C|S100A4|TNNC1
LY-2183240,11507802,CTRPv1,LY-2183240,Broad DRH,Preclinical,FAAH inhibitor|FAAH reuptake inhibitor,FAAH
Diazooxonorleucine,5351132,CTRPv1,6-diazo-5-oxo-L-norleucine,Broad DRH,Phase 2,glutamate receptor antagonist,0
BIX-01294,25150857,CTRPv1,BIX-01294,Broad DRH,Preclinical,histone lysine methyltransferase inhibitor,EHMT1|EHMT2
Pifithrin-mu,327653,CTRPv1,pifithrin-mu,Broad DRH,Preclinical,HSP inhibitor,HSPA1A|TP53
FGIN-1-27,132496,CTRPv1,FGIN-1-27,Broad DRH,Preclinical,inositol monophosphatase inhibitor,TSPO
Erastin,11214940,CTRPv1,erastin,Broad DRH,Preclinical,ion channel antagonist,VDAC2
GMX-1778,148198,CTRPv1,GMX-1778,Broad DRH,Phase 1/Phase 2,NAMPT inhibitor,NAMPT
PRIMA-1-Met,52918385,CTRPv1,PRIMA-1-Met,Broad DRH,Phase 1/Phase 2,p53 activator,TP53
endo-IWR-1,44483163,CTRPv1,endo-IWR-1,Broad DRH,Preclinical,PARP inhibitor,TNKS|TNKS2
CHR-2797,15547703,CTRPv1,tosedostat,Broad DRH,Phase 2,peptidase inhibitor,ANPEP|LAP3|NPEPPS
AZD-7545,16741245,CTRPv1,AZD-7545,Broad DRH,Phase 1,pyruvate dehydrogenase kinase inhibitor,PDK1
AC55649,1714884,CTRPv1,AC55649,Broad DRH,Preclinical,retinoid receptor agonist,RARA|RARB
AM-580,2126,CTRPv1,AM-580,Broad DRH,Preclinical,retinoid receptor agonist,RARA
CD-1530,13290751,CTRPv1,CD-1530,Broad DRH,Preclinical,retinoid receptor agonist,RARG
LE-135,10410894,CTRPv1,LE-135,Broad DRH,Preclinical,retinoid receptor agonist,RARB
Necrostatin-1,2828334,CTRPv1,necrostatin-1,Broad DRH,Preclinical,RIPK inhibitor,RIPK1
Purmorphamine,5284329,CTRPv1,purmorphamine,Broad DRH,Preclinical,smoothened receptor agonist,SMO
SKI-II,753704,CTRPv1,SKI-II,Broad DRH,Preclinical,sphingosine kinase inhibitor,SPHK1
NSC 74859,252682,CTRPv1,NSC 74859,Broad DRH,,STAT inhibitor,STAT3
BIBR1532,9927531,CTRPv1,BIBR-1532,Broad DRH,Preclinical,telomerase inhibitor,TERT
Pifithrin,4817,CTRPv1,pifithrin-alpha,Broad DRH,Preclinical,TP53 inhibitor,TP53
CYT-997,11351021,CTRPv1,CYT-997,Broad DRH,Phase 2,tubulin polymerization inhibitor,TUBB
CIL55A,noID3,CTRPv1,CIL55A,#N/A,,#N/A,#N/A
CIL56,654092,CTRPv1,CIL56,#N/A,,#N/A,#N/A
ELCPK,20959075,CTRPv1,ELCPK,#N/A,,#N/A,#N/A
FQI-1,656346,CTRPv1,FQI-1,#N/A,,#N/A,#N/A
FQI-2,56963564,CTRPv1,FQI-2,#N/A,,#N/A,#N/A
ML162,3689413,CTRPv1,ML162,#N/A,,#N/A,#N/A
ML210,56593118,CTRPv1,ML210,#N/A,,#N/A,#N/A
Neopeltolide,16115403,CTRPv1,neopeltolide,#N/A,,#N/A,#N/A
NPC-26,3465537,CTRPv1,NPC-26,#N/A,,#N/A,#N/A
Pyrvinium Pamoate,54680693,CTRPv1,pyrvinium pamoate,#N/A,,#N/A,#N/A
Quinoclamine,17748,CTRPv1,quinoclamine,#N/A,,#N/A,#N/A
Rotenone,5102,CTRPv1,rotenone,#N/A,,#N/A,#N/A
BRD6387,6623618,CTRPv1,CIL55,#N/A,,#N/A,#N/A
"1S,3R-RSL-3",1750826,CTRPv1,"1S,3R-RSL-3",CTRP_V2,,0,GPX4
4-Methylfasudil,9951687,CTRPv1,4-methylfasudil,CTRP_V1,,0,STK33|ROCK1
Alda-1,831629,CTRPv1,Alda-1,CTRP_V1,,0,ALDH2
ML083,650361,CTRPv1,ASN 05257430,CTRP_V2,,0,PKM
B02,57336488,CTRPv1,B02,CTRP_V2,,0,RAD51
BML-259,16760027,CTRPv1,BML-259,CTRP_V1,,0,CDK5|CDK2
BMS-641988,24768935,CTRPv1,BMS-641988,CTRP_V1,,0,AR
BRD8899,53245473,CTRPv1,BRD8899,CTRP_V2,,0,STK33
(E)-Capsaicin,2548,CTRPv1,capsaicin,CTRP_V1,,0,TRPV1
CAY10594,25105715,CTRPv1,CAY10594,CTRP_V2,,0,PLD2
Compound 7d-cis,44589607,CTRPv1,Compound 7d-cis,CTRP_V2,,0,XPO1
CR-1-31B,56946209,CTRPv1,CR-1-31B,CTRP_V2,,0,EIF4A2|EIF4E|EIF4G1
cyanoquinoline 11,17759555,CTRPv1,cyanoquinoline 11,CTRP_V2,,0,MAP3K8
Cytosporone B,10687292,CTRPv1,cytosporone B,CTRP_V1,,0,NR4A1
Fatostatin,1889993,CTRPv1,fatostatin,CTRP_V1,,0,SREBF1|SREBF2
Fluoropyruvate,67946,CTRPv1,fluoropyruvate,CTRP_V1,,0,PDHX
GANT-58,253078,CTRPv1,GANT-58,CTRP_V1,,0,GLI1
importazole,2949965,CTRPv1,importazole,CTRP_V2,,0,KPNB1
KU 0060648,11964036,CTRPv1,KU 0060648,CTRP_V2,,0,PRKDC
m-3M3FBS,761523,CTRPv1,m-3M3-FBS,Broad DRH,Preclinical,0,PLCB2|PLCB3|PLCD1|PLCG1|PLCG2
ML050,3136844,CTRPv1,ML050,CTRP_V2,,0,GPER1
ML203,44543605,CTRPv1,ML203,CTRP_V2,,0,PKM
OSW-1,9854230,CTRPv1,OSW-1,CTRP_V1,,0,OSBP|OSBP2
PDMP,6610216,CTRPv1,PDMP,CTRP_V2,,0,UGCG
PP-30,67535,CTRPv1,PP-30,CTRP_V1,,0,MTOR
PRL-3 inhibitor I,11983303,CTRPv1,PRL-3 Inhibitor I,CTRP_V2,,0,PTP4A3
salermide,42626405,CTRPv1,salermide,CTRP_V2,,0,SIRT1|SIRT2
SR-II-138A,49793307,CTRPv1,SR-II-138A,CTRP_V2,,0,EIF4A2|EIF4E|EIF4G1
TGX-115,9902311,CTRPv1,TGX-115,CTRP_V1,,0,PIK3CB|PIK3CD
Triacsin C,5542,CTRPv1,triacsin C,CTRP_V1,,0,ACSL3
Flutamide,3397,CTRPv1,flutamide,Broad DRH,Launched,androgen receptor antagonist,AHR|AR
Losaprex,3961,CTRPv1,losartan,Broad DRH,Launched,angiotensin receptor antagonist,AGTR1
Glibenclamide,3488,CTRPv1,glibenclamide,Broad DRH,Launched,ATP channel blocker|insulin secretagogue|sulfonylurea,ABCA1|ABCB11|ABCC8|ABCC9|CFTR|CPT1A|KCNJ1|KCNJ11|KCNJ5|KCNJ8|SLCO2B1
fosfomycin,3417,CTRPv1,fosfomycin,Broad DRH,Launched,bacterial cell wall synthesis inhibitor,0
PK-11195,1345,CTRPv1,PK-11195,Broad DRH,Phase 1,benzodiazepine receptor antagonist,TSPO
LDN-193189,25195294,CTRPv1,LDN-193189,Broad DRH,Preclinical,bone morphogenic protein inhibitor,ACVR1|BMPR1A
Nifedipine,4485,CTRPv1,nifedipine,Broad DRH,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNB2|CALM1|GLRA1|GLRA3|GLRB|KCNA1|KCNA5|NR1I2|TRPM3
etomoxir,60765,CTRPv1,etomoxir,Broad DRH,Phase 2,carnitine palmitoyltransferase inhibitor,CPT1A
JTT-705,6918540,CTRPv1,dalcetrapib,Broad DRH,Phase 3,cholesteryl ester transfer protein inhibitor,CETP
valdecoxib,119607,CTRPv1,valdecoxib,Broad DRH,Withdrawn,cyclooxygenase inhibitor,CA12|PTGS2
